Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization,WIP_Stored,Drilling_Util_Pct,Milling_Util_Pct,Assembly_Util_Pct,Drilling_Score,Milling_Score,Assembly_Score,Bottleneck_Zone,Bottleneck_Score,Throughput_Gap,Throughput_Loss_Percent
16,11584,2.998745,2.690896,121.227896,2037,11248,3.002832,0.535031,78.189025,1701,9547,2.995035,2.918434,0.800012,0.584641,0.993991,3738.0,80.0012,58.464099999999995,99.39909999999999,0.8379036960806868,0.7448667644871635,1.9865405036119959,Assembly,1.9865405036119959,2037,17.584599447513813
10,7290,2.995868,0.260466,33.198495,590,6710,3.004057,0.021796,1.394027,10,6700,3.000435,0.741966,0.50521,0.349452,0.698018,600.0,50.52100000000001,34.9452,69.8018,0.5088777368844253,0.35597924937949804,0.9503581197344118,Assembly,0.9503581197344118,590,8.093278463648835
11,3450,3.001439,0.000615,9.394379,15,3460,3.013031,0.0,10.367626,25,3435,3.001844,0.035888,0.239152,0.180991,0.358176,40.0,23.9152,18.0991,35.8176,0.23916066008685938,0.180991,0.3703813870622489,Assembly,0.3703813870622489,15,0.43478260869565216
12,13813,3.00226,9.566108,205.617376,4287,13908,3.000095,1.373233,242.365045,4382,9526,3.000077,2.89939,0.942984,0.724398,0.9933,8669.0,94.2984,72.4398,99.33,1.0776885954251028,1.1356401658632884,1.9793727038122448,Assembly,1.9793727038122448,4287,31.035980597987407
2,1426,3.006494,0.0,3.15321,6,1532,3.014824,0.0,14.721767,112,1420,3.003057,0.0,0.099117,0.080168,0.148072,118.0,9.9117,8.0168,14.807200000000002,0.099117,0.080168,0.148072,Assembly,0.148072,6,0.42075736325385693
17,12257,2.992139,6.336637,168.365923,2691,12988,3.007208,1.086069,178.759912,3422,9566,2.992412,2.899798,0.84663,0.677405,0.994959,6113.0,84.663,67.7405,99.4959,0.935858986693516,1.0026501461893034,1.9811704632282447,Assembly,1.9811704632282447,2691,21.95480133801093
13,9503,3.000836,0.83671,10.63838,321,10036,2.999735,0.32264,68.821822,854,9182,2.999892,2.643458,0.658255,0.521934,0.957765,1175.0,65.8255,52.193400000000004,95.7765,0.6700370833758241,0.6185550194439919,1.8567960987739176,Assembly,1.8567960987739176,321,3.377880669262338
7,5166,3.002963,0.024798,8.693909,163,5033,2.999159,0.000542,15.721285,30,5003,2.998581,0.183414,0.358809,0.26122,0.521656,193.0,35.8809,26.122,52.1656,0.3591581915999016,0.2613823127713199,0.5840344792308103,Assembly,0.5840344792308103,163,3.1552458381726676
14,4392,2.996823,0.001896,5.264928,18,4422,3.005645,4.7e-05,12.114801,48,4374,2.999735,0.070531,0.304694,0.230767,0.456463,66.0,30.4694,23.0767,45.646300000000004,0.3047206984141227,0.23078107509271592,0.48045035384773405,Assembly,0.48045035384773405,18,0.4098360655737705
2,1312,2.997991,0.0,1.344226,2,1410,3.006091,0.0,56.160713,100,1310,2.987713,0.0,0.090945,0.073497,0.135899,102.0,9.0945,7.3497,13.5899,0.090945,0.073497,0.135899,Assembly,0.135899,2,0.1524390243902439
9,6120,3.001181,0.166887,0.692328,27,6723,3.002006,0.026845,106.709406,630,6093,3.001464,0.567485,0.425167,0.349544,0.636043,657.0,42.5167,34.9544,63.6043,0.4275170096190331,0.35758327370125825,0.8290427235014579,Assembly,0.8290427235014579,27,0.4411764705882353
